"","X","budget","genres","homepage","id","keywords","original_language","original_title","overview","popularity","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"29",29,34000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.mgm.com/view/movie/1292/Moonraker/",698,"[{""id"": 110, ""name"": ""venice""}, {""id"": 1583, ""name"": ""mass murder""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1828, ""name"": ""space suit""}, {""id"": 2711, ""name"": ""marcus square""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 3268, ""name"": ""secret base""}, {""id"": 3469, ""name"": ""utopia""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 12391, ""name"": ""boat chase""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 155551, ""name"": ""lasers""}, {""id"": 156095, ""name"": ""british secret service""}, {""id"": 162610, ""name"": ""weightlessness""}]","en","Moonraker","During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.",29.887404,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1979,210308099,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]","Released","Outer space now belongs to 007.","Moonraker",5.9,541
"30",30,30000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","http://toystory.disney.com/toy-story",862,"[{""id"": 931, ""name"": ""jealousy""}, {""id"": 4290, ""name"": ""toy""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 165503, ""name"": ""boy next door""}, {""id"": 170722, ""name"": ""new toy""}, {""id"": 187065, ""name"": ""toy comes to life""}]","en","Toy Story","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",73.640445,"[{""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995,373554033,81,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","","Toy Story",7.7,5269
"31",31,28000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]","http://movies.disney.com/aladdin",812,"[{""id"": 2343, ""name"": ""magic""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 6513, ""name"": ""cartoon""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10267, ""name"": ""comedy""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 15149, ""name"": ""monkey""}, {""id"": 173259, ""name"": ""arab""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 190536, ""name"": ""genie""}, {""id"": 234183, ""name"": ""animal sidekick""}]","en","Aladdin","Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",92.982009,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1992,504050219,90,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Wish granted!","Aladdin",7.4,3416
"32",32,28000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]","http://www.indianajones.com",87,"[{""id"": 483, ""name"": ""riddle""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 2860, ""name"": ""heart""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 13006, ""name"": ""torture""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15149, ""name"": ""monkey""}, {""id"": 34117, ""name"": ""cult film""}, {""id"": 41586, ""name"": ""archaeologist""}, {""id"": 162767, ""name"": ""thuggee""}, {""id"": 167106, ""name"": ""conveyor belt""}, {""id"": 174465, ""name"": ""mine car""}, {""id"": 174468, ""name"": ""rope bridge""}, {""id"": 174469, ""name"": ""belching""}, {""id"": 174472, ""name"": ""child driving a car""}, {""id"": 174476, ""name"": ""eating brains""}, {""id"": 174480, ""name"": ""splits""}, {""id"": 176731, ""name"": ""indiana jones""}, {""id"": 184134, ""name"": ""archeology\u00a0""}]","en","Indiana Jones and the Temple of Doom","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",66.976776,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1984,3.33e+08,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""si"", ""name"": """"}]","Released","If adventure has a name... it must be Indiana Jones.","Indiana Jones and the Temple of Doom",7.1,2781
"33",33,25000000,"[{""id"": 18, ""name"": ""Drama""}]","",380,"[{""id"": 30, ""name"": ""individual""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 1646, ""name"": ""autism""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 1873, ""name"": ""yuppie""}, {""id"": 1874, ""name"": ""car dealer""}, {""id"": 1906, ""name"": ""egocentrism""}, {""id"": 9935, ""name"": ""travel""}, {""id"": 11428, ""name"": ""convertible""}, {""id"": 15106, ""name"": ""psychiatrist""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 214965, ""name"": ""savant""}]","en","Rain Man","Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.",49.510658,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Star Partners II Ltd."", ""id"": 206}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988,412800000,133,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]","Released","A journey through understanding and fellowship.","Rain Man",7.6,1709
"34",34,18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back",1891,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 803, ""name"": ""android""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 3373, ""name"": ""snow storm""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10016, ""name"": ""lightsaber""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 160134, ""name"": ""the force""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 178710, ""name"": ""stormtrooper""}, {""id"": 210346, ""name"": ""wookie""}, {""id"": 232452, ""name"": ""jedi master""}, {""id"": 232453, ""name"": ""jedi training""}, {""id"": 232454, ""name"": ""droid""}]","en","The Empire Strikes Back","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",78.51783,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980,538400000,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The Adventure Continues...","The Empire Strikes Back",8.2,5879
"35",35,22000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]","",251,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 663, ""name"": ""fortune teller""}, {""id"": 881, ""name"": ""money transfer""}, {""id"": 975, ""name"": ""money laundering""}, {""id"": 1553, ""name"": ""pottery""}, {""id"": 6155, ""name"": ""afterlife""}, {""id"": 210530, ""name"": ""spiritism""}]","en","Ghost","Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",41.967005,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1990,5.05e+08,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","A love that will last forever.","Ghost",6.9,1339
"36",36,18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]","http://www.indianajones.com",85,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 483, ""name"": ""riddle""}, {""id"": 485, ""name"": ""nepal""}, {""id"": 486, ""name"": ""himalaya""}, {""id"": 487, ""name"": ""cairo""}, {""id"": 488, ""name"": ""moses""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 1294, ""name"": ""whip""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 1456, ""name"": ""medallion""}, {""id"": 2650, ""name"": ""leather jacket""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 2656, ""name"": ""hat""}, {""id"": 2853, ""name"": ""mediterranean""}, {""id"": 2854, ""name"": ""ark of the covenant""}, {""id"": 2856, ""name"": ""ten commandments""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 9032, ""name"": ""excavation""}, {""id"": 11105, ""name"": ""swastika""}, {""id"": 41586, ""name"": ""archaeologist""}, {""id"": 176731, ""name"": ""indiana jones""}, {""id"": 184134, ""name"": ""archeology\u00a0""}]","en","Raiders of the Lost Ark","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",68.159596,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1981,389925971,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""ne"", ""name"": """"}]","Released","Indiana Jones - the new hero from the creators of JAWS and STAR WARS.","Raiders of the Lost Ark",7.7,3854
"37",37,806948,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","",539,"[{""id"": 612, ""name"": ""hotel""}, {""id"": 1443, ""name"": ""clerk""}, {""id"": 1859, ""name"": ""arizona""}, {""id"": 1879, ""name"": ""shower""}, {""id"": 2217, ""name"": ""rain""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 10594, ""name"": ""money""}, {""id"": 11677, ""name"": ""secretary""}, {""id"": 13092, ""name"": ""corpse""}, {""id"": 13112, ""name"": ""murderer""}, {""id"": 14604, ""name"": ""theft""}, {""id"": 155790, ""name"": ""private detective""}, {""id"": 233450, ""name"": ""proto-slasher""}]","en","Psycho","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",93.067866,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Shamley Productions"", ""id"": 10717}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1960,3.2e+07,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The master of suspense moves his cameras into the icy blackness of the unexplored!","Psycho",8.2,2320
"38",38,19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]","http://www.backtothefuture.com/movies/backtothefuture1",105,"[{""id"": 389, ""name"": ""clock tower""}, {""id"": 830, ""name"": ""car race""}, {""id"": 949, ""name"": ""terrorist""}, {""id"": 951, ""name"": ""delorean""}, {""id"": 952, ""name"": ""lightning""}, {""id"": 953, ""name"": ""guitar""}, {""id"": 955, ""name"": ""plutonium""}, {""id"": 999, ""name"": ""sports car""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1743, ""name"": ""journey in the past""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 9104, ""name"": ""partner""}, {""id"": 9789, ""name"": ""misfit""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11860, ""name"": ""fish out of water""}, {""id"": 18425, ""name"": ""teenage love""}, {""id"": 40850, ""name"": ""destiny""}, {""id"": 186189, ""name"": ""hidden identity""}, {""id"": 187376, ""name"": ""odd couple""}, {""id"": 187710, ""name"": ""escapade""}, {""id"": 189449, ""name"": ""disorder""}, {""id"": 206687, ""name"": ""chases and races""}, {""id"": 206715, ""name"": ""love and romance""}, {""id"": 206720, ""name"": ""teenage life""}, {""id"": 206735, ""name"": ""misfit partners""}, {""id"": 206736, ""name"": ""changing the past or future""}, {""id"": 206737, ""name"": ""getting home""}, {""id"": 206738, ""name"": ""inventions and discoveries""}]","en","Back to the Future","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",76.603233,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""U-Drive Productions"", ""id"": 20448}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1985,381109762,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","He's the only kid ever to get into trouble before he was born.","Back to the Future",8,6079
"39",39,15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]","",744,"[{""id"": 725, ""name"": ""lovesickness""}, {""id"": 1014, ""name"": ""loss of lover""}, {""id"": 2533, ""name"": ""fighter pilot""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 3564, ""name"": ""ejection seat""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3776, ""name"": ""officer""}, {""id"": 3777, ""name"": ""training camp""}, {""id"": 3779, ""name"": ""air force""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 3851, ""name"": ""dangerous""}, {""id"": 3994, ""name"": ""battle assignment""}, {""id"": 4410, ""name"": ""u.s. navy""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 7879, ""name"": ""secret love""}, {""id"": 13001, ""name"": ""cowardliness""}, {""id"": 207414, ""name"": ""pilot school""}]","en","Top Gun","For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",58.900647,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1986,356830601,110,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Up there with the best of the best.","Top Gun",6.7,1698
"40",40,15000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]","",947,"[{""id"": 487, ""name"": ""cairo""}, {""id"": 1975, ""name"": ""arabian""}, {""id"": 2504, ""name"": ""world war i""}, {""id"": 2673, ""name"": ""horse""}, {""id"": 3575, ""name"": ""jerusalem""}, {""id"": 4100, ""name"": ""british army""}, {""id"": 4107, ""name"": ""british empire""}, {""id"": 4535, ""name"": ""damascus""}, {""id"": 4717, ""name"": ""camel""}, {""id"": 6091, ""name"": ""war""}, {""id"": 18034, ""name"": ""desert""}, {""id"": 173259, ""name"": ""arab""}, {""id"": 214410, ""name"": ""ottoman empire""}]","en","Lawrence of Arabia","An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",41.286336,"[{""name"": ""Horizon Pictures (II)"", ""id"": 11356}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1962,69995385,216,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}]","Released","","Lawrence of Arabia",7.8,851
"41",41,92620000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]","",19,"[{""id"": 312, ""name"": ""man vs machine""}, {""id"": 1001, ""name"": ""underground world""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 2346, ""name"": ""worker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3223, ""name"": ""machine town""}, {""id"": 3640, ""name"": ""work""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5966, ""name"": ""tower of babel""}, {""id"": 6662, ""name"": ""delirium""}, {""id"": 10012, ""name"": ""chase scene""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 201028, ""name"": ""depravity""}, {""id"": 206472, ""name"": ""masterpiece""}, {""id"": 234109, ""name"": ""downtrodden""}, {""id"": 234110, ""name"": ""saviour""}]","de","Metropolis","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",32.351527,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Universum Film (UFA)"", ""id"": 12372}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1927,650422,153,"[{""iso_639_1"": ""xx"", ""name"": ""No Language""}]","Released","There can be no understanding between the hands and the brain unless the heart acts as mediator.","Metropolis",8,657
"42",42,14000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]","",10998,"[{""id"": 459, ""name"": ""sexual obsession""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 4481, ""name"": ""deceived wife""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 34094, ""name"": ""extramarital affair""}, {""id"": 190370, ""name"": ""erotic movie""}]","en","Fatal Attraction","A married man's one night stand comes back to haunt him when that lover begins to stalk him and his family.",16.742972,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1987,320145693,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.","Fatal Attraction",6.6,291
"43",43,8000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","http://theexorcist.warnerbros.com/",9552,"[{""id"": 2626, ""name"": ""exorcism""}, {""id"": 3649, ""name"": ""holy water""}, {""id"": 3684, ""name"": ""religion and supernatural""}, {""id"": 5569, ""name"": ""vomit""}, {""id"": 5950, ""name"": ""christian""}, {""id"": 9712, ""name"": ""possession""}, {""id"": 9754, ""name"": ""profanity""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10112, ""name"": ""ouija board""}, {""id"": 10138, ""name"": ""satan""}, {""id"": 11627, ""name"": ""paranormal phenomena""}, {""id"": 14659, ""name"": ""girl""}, {""id"": 15001, ""name"": ""demon""}, {""id"": 18402, ""name"": ""strong language""}, {""id"": 179564, ""name"": ""disturbed child""}, {""id"": 179567, ""name"": ""crisis of faith""}, {""id"": 198435, ""name"": ""sfx""}]","en","The Exorcist","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",47.584643,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Hoya Productions"", ""id"": 48184}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1973,441306145,122,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist.","The Exorcist",7.5,2005
"44",44,7000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]","http://www.jaws25.com/",578,"[{""id"": 1495, ""name"": ""fishing""}, {""id"": 1913, ""name"": ""atlantic ocean""}, {""id"": 2069, ""name"": ""bathing""}, {""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2993, ""name"": ""police chief""}, {""id"": 2996, ""name"": ""ferry boat""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 11280, ""name"": ""dolly zoom""}, {""id"": 15097, ""name"": ""shark""}, {""id"": 15098, ""name"": ""great white shark""}, {""id"": 223059, ""name"": ""animal horror""}]","en","Jaws","An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",50.152327,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Zanuck/Brown Productions"", ""id"": 1865}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1975,470654000,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Don't go in the water.","Jaws",7.5,2542
"45",45,12000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]","",11202,"[{""id"": 1402, ""name"": ""general""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 4299, ""name"": ""normandy""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 6165, ""name"": ""historical figure""}, {""id"": 9156, ""name"": ""d-day""}, {""id"": 11110, ""name"": ""dead soldier""}, {""id"": 11117, ""name"": ""tank""}, {""id"": 11139, ""name"": ""steel helmet""}, {""id"": 40850, ""name"": ""destiny""}, {""id"": 213798, ""name"": ""allies""}]","en","Patton","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",21.933822,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1970,89800000,172,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The Rebel Warrior","Patton",7.3,323
"46",46,11000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.starwars.com/films/star-wars-episode-iv-a-new-hope",11,"[{""id"": 803, ""name"": ""android""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 4271, ""name"": ""hermit""}, {""id"": 10013, ""name"": ""death star""}, {""id"": 10016, ""name"": ""lightsaber""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 11107, ""name"": ""rescue mission""}, {""id"": 11195, ""name"": ""empire""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 13194, ""name"": ""planet""}, {""id"": 155336, ""name"": ""smuggler""}, {""id"": 160134, ""name"": ""the force""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 163295, ""name"": ""galactic war""}, {""id"": 178710, ""name"": ""stormtrooper""}, {""id"": 178712, ""name"": ""totalitarianism""}]","en","Star Wars","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.",126.393695,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1977,775398007,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","A long time ago in a galaxy far, far away...","Star Wars",8.1,6624
