all_data_2,scena
I'll be out of your way in a sec. She seems to be as weak as Jack.,121
<br><b><u>JACK</u>:</b><br>,121
You... don't have to... leave.,121
<br><b><u>MARLA</u>:</b><br>,121
Whatever.,121
<br><b><u>JACK</u>:</b><br>,121
Really... I mean it. (pause) Have you been going to your groups?,121
<br><b><u>MARLA</u>:</b><br>,121
Chloe's dead.,121
<br><b><u>JACK</u>:</b><br>,121
When?,121
<br><b><u>MARLA</u>:</b><br>,121
Do you care?,121
<br><b><u>JACK</u>:</b><br>,121
I don't know.,121
<br><b><u>MARLA</u>:</b><br>,121
"It was the smart move on her part. Marla turns to face Jack, a grim expression on her face. There's a BRUISE on her ARM. Jack gets up, moves closer.",121
<br><b><u>JACK</u>:</b><br>,121
Why are we both... caught up like this... with... ?,121
<br><b><u>JACK (V.O.)</u>:</b><br>,121
"I came so close to saying Tyler's name, I could feel it vibrate inside my mouth. Marla looks a him, waiting.",121
<br><b><u>JACK</u>:</b><br>,121
I don't understand. Why does a weak person have to go out and find a strong person... to hang onto?,121
<br><b><u>MARLA</u>:</b><br>,121
What do you get out of it? Faint SOUND of SAWING and HAMMERING. Jack can't quite figure where it's coming from.,121
<br><b><u>JACK</u>:</b><br>,121
You hear that?,121
<br><b><u>MARLA</u>:</b><br>,121
Hear what?,121
<br><b><u>JACK</u>:</b><br>,121
That... sawing and hammering.,121
<br><b><u>MARLA</u>:</b><br>,121
"Have we been talking too long? Must we change the subject? Jack turns -- through the crack of the open basement door, Tyler's staring at Jack from the bottom of the stairs.",121
<br><b><u>TYLER</u>:</b><br>,121
"(harsh whisper) You're not talking about me, are you? Jack reacts, turns back to Marla.",121
<br><b><u>JACK</u>:</b><br>,121
(to Marla and Tyler) No.,121
<br><b><u>MARLA</u>:</b><br>,121
That day you came over to my place to play doctor... what was going on there?,121
<br><b><u>TYLER</u>:</b><br>,121
(still a whisper) What are you talking about?,121
<br><b><u>JACK</u>:</b><br>,121
(to Marla and Tyler) Nothing.,121
<br><b><u>MARLA</u>:</b><br>,121
Nothing? I don't think so.,121
<br><b><u>TYLER</u>:</b><br>,121
(whisper) This conversation...,121
<br><b><u>JACK</u>:</b><br>,121
This conversation...,121
<br><b><u>TYLER</u>:</b><br>,121
... is over.,121
<br><b><u>JACK</u>:</b><br>,121
"... is over. Marla comes to touch Jack's hair. Jack closes the basement door. Marla sees the kiss-scar on Jack's hand, grabs his hand. Jack tries to pull it back, but Marla keeps a grip.",121
<br><b><u>MARLA</u>:</b><br>,121
What is this? Who did this?,121
<br><b><u>JACK</u>:</b><br>,121
... A person.,121
<br><b><u>MARLA</u>:</b><br>,121
Guy or girl?,121
<br><b><u>JACK</u>:</b><br>,121
Why would you ask if it's a guy or a girl?!,121
<br><b><u>MARLA</u>:</b><br>,121
Why would you get bent if I asked?,121
<br><b><u>JACK</u>:</b><br>,121
Let go of me... (pulls his hand free) Leave me alone.,121
<br><b><u>MARLA</u>:</b><br>,121
"You're afraid to say. Marla backs away, closes her eyes, struggling with frustration. She leaves out the back door, not looking back. Jack leans against the wall. After a moment, he opens the basement door, heads downstairs...<br><a href='#top'>gora strony</a>",121
<h3>INT. OFFICE - DAY</h3><br><a name='top'></a>,133
"Jack enters. Angel Face reads a book, marks on a chart. Space Monkeys shuffle PAPERS and NEWS CLIPPINGS. Walls are lined with FILES, each labeled with a STREET ADDRESS, under SIGNS: ""Mischief,"" ""Disinformation,"" ""Arson."" Jack's eye lingers on ""Arson."" He starts flipping through a file. Angel Face comes to take the file from him. ANGEL FACE That wouldn't interest you.",133
<br><b><u>JACK</u>:</b><br>,133
Where's Tyler? ANGEL FACE The first rule of Project --,133
<br><b><u>JACK</u>:</b><br>,133
"Right, right. As Angel Face replaces the file, Jack notices -- a LYE- BURNED KISS-SCAR on the back of Angel Face's hand. EXT. BACK YARD - NIGHT Jack takes a swig of vodka, smokes. In the BACKGROUND, a Space Monkey WHACKS an APPLICANT with a BROOM. It's a ritual; no words. Other Space Monkeys tend the garden.",133
<br><b><u>JACK (V.O.)</u>:</b><br>,133
"I'm all alone. I Am Jack's Broken Heart. Jack drops his cigarette in the gravel, steps on it. A Space Monkey immediately comes to clean it up.",133
<br><b><u>JACK</u>:</b><br>,133
"Get away from me! MARLA'S VOICE (O.S.) Who are all these people? Jack turns, sees Marla with an overnight bag.",133
<br><b><u>JACK</u>:</b><br>,133
The Paper Street Soap Company.,133
<br><b><u>MARLA</u>:</b><br>,133
Can I come in?,133
<br><b><u>JACK</u>:</b><br>,133
He's not here.,133
<br><b><u>MARLA</u>:</b><br>,133
What?,133
<br><b><u>JACK</u>:</b><br>,133
"He's not here! Tyler's not here anymore! He's gone away! Marla stares at Jack, miserable. A tear runs down her cheek. She turns and walks away. Jack watches her go. There's a LOUD COMMOTION from the house, VOICES SHOUTING. Jack heads to the back door...<br><a href='#top'>gora strony</a>",133
<h3>INT. MARLA'S ROOM - SAME</h3><br><a name='top'></a>,148
Marla answers.,148
<br><b><u>MARLA</u>:</b><br>,148
Yeah?,148
<br><b><u>JACK</u>:</b><br>,148
"Marla, it's me. Have we... have we ever had sex?",148
<br><b><u>MARLA</u>:</b><br>,148
What kind of stupid question is that?!,148
<br><b><u>JACK</u>:</b><br>,148
"Because the answer's ""yes"" or because the answer's ""no?""",148
<br><b><u>MARLA</u>:</b><br>,148
Is this a trick?,148
<br><b><u>JACK</u>:</b><br>,148
"Will you just answer me, for Christsake?!",148
<br><b><u>MARLA</u>:</b><br>,148
"You mean, you want to know if I think we were just having sex or making love?",148
<br><b><u>JACK</u>:</b><br>,148
We did make love?,148
<br><b><u>MARLA</u>:</b><br>,148
Is that what you're calling it?,148
<br><b><u>JACK</u>:</b><br>,148
Answer the question!,148
<br><b><u>MARLA</u>:</b><br>,148
"You fuck me, then snub me. You love me, you hate me. You show me your sensitive side, then you turn into a total asshole! Is that a pretty accurate description of our relationship, Tyler?",148
<br><b><u>JACK (V.O.)</u>:</b><br>,148
We've just lost cabin pressure.,148
<br><b><u>JACK</u>:</b><br>,148
What did you say... ?,148
<br><b><u>MARLA</u>:</b><br>,148
What is wrong with you?,148
<br><b><u>JACK</u>:</b><br>,148
Say my name.,148
<br><b><u>MARLA</u>:</b><br>,148
What... ?,148
<br><b><u>JACK</u>:</b><br>,148
Say my name! What's my name!?,148
<br><b><u>MARLA</u>:</b><br>,148
"Tyler Durden! Tyler Durden, you fucking freak. What's going on? I'm coming over there...",148
<br><b><u>JACK</u>:</b><br>,148
"Marla, no, wait... As Marla HANGS UP. Jack stares at the receiver, dazed... TYLER'S VOICE We've got six fight clubs in Chicago now... Jack spins, dropping the phone -- TYLER sits beside him.",148
<br><b><u>TYLER</u>:</b><br>,148
Four in Milwaukee.,148
<br><b><u>JACK</u>:</b><br>,148
"What's this all about, Tyler?",148
<br><b><u>TYLER</u>:</b><br>,148
"And, we're definitely filling a void in the rural South.",148
<br><b><u>JACK</u>:</b><br>,148
Why do people think I'm you?,148
<br><b><u>TYLER</u>:</b><br>,148
You broke your promise. You talked to her about me.,148
<br><b><u>JACK</u>:</b><br>,148
Why do people think I'm Tyler Durden?,148
<br><b><u>TYLER</u>:</b><br>,148
Why did you do that?,148
<br><b><u>JACK</u>:</b><br>,148
"Answer me, Tyler.",148
<br><b><u>TYLER</u>:</b><br>,148
Why do people think anything?,148
<br><b><u>JACK</u>:</b><br>,148
"I don't know! Tell me! Tyler shakes his head in disgust, extremely irritated.",148
<br><b><u>TYLER</u>:</b><br>,148
"People think that you're me, because you and I happen to share the same body.",148
<br><b><u>JACK</u>:</b><br>,148
What... ?,148
<br><b><u>TYLER</u>:</b><br>,148
Is this really news to you?,148
<br><b><u>JACK</u>:</b><br>,148
What are you talking about... ?,148
<br><b><u>TYLER</u>:</b><br>,148
"Sometimes I control it, and you imagine yourself watching me... FLASHBACK - HALLWAY - NIGHT Commissioner Jacobs checks his tie in a mirror, goes to open the door of the MEN'S BATHROOM -- face to face with JACK. FLASHBACK - LOU'S BAR BASEMENT - NIGHT JACK stands surrounded by eager fight club MEMBERS, under the bare bulb, talking and behaving like Tyler...",148
<br><b><u>JACK</u>:</b><br>,148
The first rule of fight club is -- you don't talk about fight club.<br><a href='#top'>gora strony</a>,148
<h3>INT. TYLER'S ROOM</h3><br><a name='top'></a>,160
"Jack sits by the PHONE, pulls out the HOTEL BILL, runs his finger up and down the list of PHONE NUMBERS...",160
<br><b><u>JACK (V.O.)</u>:</b><br>,160
"Deja vu, all over again... Jack finger stops on a NUMBER. He dials, phone to his ear.",160
<br><b><u>VOICE</u>:</b><br>,160
"(from phone) Eighteen-eighty-eight. Jack sees a file on the wall: ""1888 CENTURY PARK EAST.""",160
<br><b><u>JACK</u>:</b><br>,160
Who is this?,160
<br><b><u>VOICE</u>:</b><br>,160
Maintenance.,160
<br><b><u>JACK</u>:</b><br>,160
"Listen, something is going to happen, something terrible...",160
<br><b><u>VOICE</u>:</b><br>,160
"Very good, Sir.",160
<br><b><u>JACK</u>:</b><br>,160
Excuse me?,160
<br><b><u>VOICE</u>:</b><br>,160
"Don't worry about us, sir. We're solid.",160
<br><b><u>JACK</u>:</b><br>,160
"Now wait, there's been a mix-up. Everything's changed...",160
<br><b><u>VOICE</u>:</b><br>,160
You told me you'd say that.,160
<br><b><u>JACK</u>:</b><br>,160
Abort the plan.,160
<br><b><u>VOICE</u>:</b><br>,160
"You told me you'd say that, too.",160
<br><b><u>JACK</u>:</b><br>,160
Did I tell you I'd call you a fascist dickhead?!,160
<br><b><u>VOICE</u>:</b><br>,160
"Well, sir, you said you might. Jack HANGS UP, desperately dials the next number on the bill. DIFFERENT VOICE (front phone) Twenty-one-sixty. Maintenance. Jack sees a file: ""2160 PICO BOULEVARD."" He throws the phone, pocketing the bill. He grabs up all the FILES. EXT. MARLA'S HOTEL - SUNSET Jack's TAXI halts. Marla walks out of the lobby doors, sees Jack getting out of the cab, laden with files...",160
<br><b><u>JACK</u>:</b><br>,160
"Marla! Marla makes a sharp turn, walking away. Jack follows, hugging the files to his chest, catching up.",160
<br><b><u>JACK</u>:</b><br>,160
Marla...,160
<br><b><u>MARLA</u>:</b><br>,160
"Your whacked-out, bald freaks hit me with a fucking broom. I thought they were going to break my arm.",160
<br><b><u>JACK</u>:</b><br>,160
"I'm sorry, I...",160
<br><b><u>MARLA</u>:</b><br>,160
The were burning their fingertips with lye. The stink was unbelievable.,160
<br><b><u>JACK</u>:</b><br>,160
Marla... I need to talk to you. It's going to take a tremendous act of faith on your part for you to hear me out.,160
<br><b><u>MARLA</u>:</b><br>,160
Here comes an avalanche of bullshit. Marla heads into a DINER. Jack follows...,160
<br><b><u>JACK</u>:</b><br>,160
-- A little more faith than that.<br><a href='#top'>gora strony</a>,160
<h3>INT. DINER - MOMENTS LATER</h3><br><a name='top'></a>,161
Marla sits in a BOOTH. Jack sits across from her.,161
<br><b><u>MARLA</u>:</b><br>,161
I don't want to hear anything you've got to say.,161
<br><b><u>JACK</u>:</b><br>,161
"Give me a minute, Marla, alright... just sixty seconds.",161
<br><b><u>MARLA</u>:</b><br>,161
"Sixty seconds, then I'm out of here.",161
<br><b><u>JACK</u>:</b><br>,161
"Absolutely, you have every right. I need you to do me a favor.",161
<br><b><u>MARLA</u>:</b><br>,161
I've done you enough favors. A WAITER with a BLACK EYE appears at the table.,161
<br><b><u>WAITER</u>:</b><br>,161
"Sir! Anything you order is free of charge, sir.",161
<br><b><u>MARLA</u>:</b><br>,161
Why is it free of charge?,161
<br><b><u>JACK</u>:</b><br>,161
Because... I'm Tyler Durden.,161
<br><b><u>MARLA</u>:</b><br>,161
"Then, I'll have the clam chowder... fried chicken and a baked potato with everything and a chocolate chiffon pie. Jack look to the pass-through WINDOW into the kitchen where THREE COOKS look out with STITCHES in their faces.",161
<br><b><u>JACK</u>:</b><br>,161
"Clean food, please.",161
<br><b><u>WAITER</u>:</b><br>,161
"In that case, sir, may I advise against the lady eating the clam chowder?",161
<br><b><u>JACK</u>:</b><br>,161
"Thanks, no clam chowder. That's it. The waiter snaps to attention and leaves.",161
<br><b><u>MARLA</u>:</b><br>,161
You got about thirty seconds.,161
<br><b><u>JACK</u>:</b><br>,161
(takes a deep breath) I know that I've been... unwell. I know it's been like there's two sides to me.,161
<br><b><u>MARLA</u>:</b><br>,161
Two sides? You're Dr. Jeckle and Mr. Jackass.,161
<br><b><u>JACK</u>:</b><br>,161
"I deserve that. Anyway, I've... I've only just realized",161
<br><b><u>MARLA</u>:</b><br>,161
What?,161
<br><b><u>JACK</u>:</b><br>,161
"I mean, the depth and breadth of our relationship has only recently been illuminated for me. I know this... I know us hasn't been such a great thing for you...",161
<br><b><u>MARLA</u>:</b><br>,161
"Whatever. (to waiter) I'll take my food to go... Marla's getting up to go, but Jack rises, fed up, takes her by the arm, putting her back in her seat.",161
<br><b><u>JACK</u>:</b><br>,161
Sit down! Sit down and give me my last fifteen seconds without opening your mouth! Marla crosses her arms. Jack collects himself.,161
<br><b><u>JACK</u>:</b><br>,161
"I'm trying to tell you -- and this is where you have to trust me -- but, I think your life might be in real danger.",161
<br><b><u>MARLA</u>:</b><br>,161
What?,161
<br><b><u>JACK</u>:</b><br>,161
"You have to get out of here. Leave as soon as possible. Go to any rural town, away from any major city...",161
<br><b><u>MARLA</u>:</b><br>,161
You are an insane person.,161
<br><b><u>JACK</u>:</b><br>,161
Marla...,161
<br><b><u>MARLA</u>:</b><br>,161
"No, no, shut up! I've had enough. I tried, Tyler... I have tried... Marla's getting upset, tears coming to her eyes.",161
<br><b><u>MARLA</u>:</b><br>,161
"There's a part of you I really like, but I can't do this anymore. I just can't. This is killing me...",161
<br><b><u>JACK</u>:</b><br>,161
"I'm sorry, but I...",161
<br><b><u>MARLA</u>:</b><br>,161
"What?! You're sorry? I don't believe that for a minute. Marla gets up. Jack grabs for her, but she's gone, heading for the door. Jack gathers his files, runs to follow... EXT. DINER - MOMESTS LATER Jack pushes out the door, files under one arm, catching up...",161
<br><b><u>JACK</u>:</b><br>,161
"I can't explain. You wouldn't believe me anyway. I'm trying to protect you... Jack grabs her arm, tries to hail a TAXI, but the taxi races past. Marla pulls free, screaming at him...,",161
<br><b><u>MARLA</u>:</b><br>,161
Let go of me!,161
<br><b><u>JACK</u>:</b><br>,161
"Do this for me, Marla. Do this for me, if you never do anything else... Jack spots a BUS idling further up the street.",161
<br><b><u>MARLA</u>:</b><br>,161
Leave me alone! I don't ever want to see you again!,161
<br><b><u>JACK</u>:</b><br>,161
"Okay, if that's what it takes, you'll never have to see me again. (digs in his pocket) Here... here... He pulls MONEY from his pocket, holding it out.",161
<br><b><u>JACK</u>:</b><br>,161
"Take this money, get on this bus... (pointing to bus) Get on, and I promise you, I'll never bother you again, if that's what you want. Please... Marla looks at Jack, numb.",161
<br><b><u>MARLA</u>:</b><br>,161
Tyler...,161
<br><b><u>JACK</u>:</b><br>,161
"I'm begging you. Get on the bus. Get on the bus. Marla takes the money from Tyler, walks towards the bus. As they approach it, Jack shields his eyes, afraid to look...",161
<br><b><u>MARLA</u>:</b><br>,161
Why are you doing this?,161
<br><b><u>JACK</u>:</b><br>,161
"I can't let myself see where you're going. Go wherever it takes you, remember... keep away from major cities... Marla stands at the doors of the bus, heartbroken, gives one last look at Jack.",161
<br><b><u>MARLA</u>:</b><br>,161
"(holds up the money) I'm not paying this back. I consider it ""asshole tax.""",161
<br><b><u>JACK</u>:</b><br>,161
"Yes, fine. Just, get on. Stay away a couple of weeks, at least. Jack's still covering his eyes. Marla gets on the bus.",161
<br><b><u>MARLA</u>:</b><br>,161
Tyler... Jack finally looks to her.,161
<br><b><u>MARLA</u>:</b><br>,161
"You are the worst thing that ever happened to me. DOORS HISS SHUT. The BUS LEAVES, heading away. Jack seems relieved. Then, a SCREAM is HEARD from MARLA... Jack turns, looks... THROUGH THE BUS WINDOWS: the bus is filled with BALD MEN IN BLACK: Space Monkeys. Jack SPRINTS after the bus... The bus speeds away. Onboard, Space Monkeys subdue Marla. Jack falls to the asphalt, rolls, files-flying.",161
<br><b><u>JACK</u>:</b><br>,161
Son of a bitch!<br><a href='#top'>gora strony</a>,161
<h3>INT. TOP-LEVEL PARKING AREA - SEVENTH FLOOR</h3><br><a name='top'></a>,166
"Jack enters, heaving. Again, NO CARS. He moves from one SUPPORT POST to another, searching. He finally spies, across the garage, NINE LARGE CANISTERS, heavily-WIRED. Jack runs to the BOMB, frantic. He walks around it. There's a DIGITAL CLOCK, ticking down from ""10:05""... Jack moves to pull the lid off one CANISTER, looks inside..",166
<br><b><u>TYLER</u>:</b><br>,166
"Could be worse... Jack looks -- Tyler's seated, his back against one post.",166
<br><b><u>TYLER</u>:</b><br>,166
"You could be standing under 37 stories of steel and concrete with a 150 gallons of nitroglycerin strapped to the support... oh, maybe it couldn't be...",166
<br><b><u>JACK</u>:</b><br>,166
(points at bomb) You... you can't be serious about this.,166
<br><b><u>TYLER</u>:</b><br>,166
What a ridiculous thing to say.,166
<br><b><u>JACK</u>:</b><br>,166
I can't let you...,166
<br><b><u>TYLER</u>:</b><br>,166
...go through with this? What are you going to do?,166
<br><b><u>JACK</u>:</b><br>,166
I'm going to...,166
<br><b><u>TYLER</u>:</b><br>,166
...stop me?,166
<br><b><u>JACK</u>:</b><br>,166
I'm not going...,166
<br><b><u>TYLER</u>:</b><br>,166
...to let this happen!,166
<br><b><u>JACK</u>:</b><br>,166
Stop finishing...,166
<br><b><u>TYLER</u>:</b><br>,166
...your sentences! They're our sentences. Get your mind around that. Tyler gets up walks to Jack.,166
<br><b><u>TYLER</u>:</b><br>,166
What are you doing running through the streets in your underpants? We both use that body.,166
<br><b><u>JACK</u>:</b><br>,166
Since when is Project Mayhem about murder?,166
<br><b><u>TYLER</u>:</b><br>,166
The buildings were evacuated thirty minutes ago. Everything's proceeding exactly as planned.,166
<br><b><u>JACK</u>:</b><br>,166
"You don't know that. There could still be people inside. Tyler keeps walking around, crosses his arms.",166
<br><b><u>TYLER</u>:</b><br>,166
"Maybe. Maybe a couple of guys with shaved heads couldn't synchronize their watches. Good riddance. Jack looks back to the BOMB, goes to it, wipes sweat off his face. He starts finger the MANY WIRES, sorting them.",166
<br><b><u>TYLER</u>:</b><br>,166
"I wouldn't be doing that. Unless you know which wires, in what order...",166
<br><b><u>JACK</u>:</b><br>,166
"If you know, I know. Jack holds his gun under one armpit, uses both hands to go through the tangle of colored wires.",166
<br><b><u>TYLER</u>:</b><br>,166
"Or... maybe I knew you'd know, so I spent the whole day thinking about the wrong ones. Jack chooses one wire, GREEN, holds it in his fingers.",166
<br><b><u>JACK</u>:</b><br>,166
"If I'm wrong, we're both dead..",166
<br><b><u>TYLER</u>:</b><br>,166
This is not about martyrdom. Jack twists the GREEN WIRE around his finger.,166
<br><b><u>JACK</u>:</b><br>,166
I'm pulling the green wire.,166
<br><b><u>TYLER</u>:</b><br>,166
"Green? Did you say green? Tyler comes a little closer, leaning to try to get a look, seems genuinely concerned.",166
<br><b><u>JACK</u>:</b><br>,166
Yes...,166
<br><b><u>TYLER</u>:</b><br>,166
Don't pull the green wire. Pull anything but the green wire.,166
<br><b><u>JACK</u>:</b><br>,166
Fuck you.,166
<br><b><u>TYLER</u>:</b><br>,166
"I'm serious. That's the wrong one. Jack's unsure, swallowing, pulling the wire taunt, fingers trembling. The SOUND of a VEHICLE is HEARD from below...",166
<br><b><u>TYLER</u>:</b><br>,166
"Hear that? Marla's here. Just in the nick of time, eh? Jack looks to Tyler. Tyler points towards the SOUND...",166
<br><b><u>TYLER</u>:</b><br>,166
"See for yourself. Jack releases the wire, walks to a RAILING, gun in hand, keeps an eye on Tyler. Jack looks over the railing... BELOW, a BUS idles. The doors open and MARLA'S dragged out, kicking and screaming, carried by SIX SPACE MONKEYS...",166
<br><b><u>MARLA</u>:</b><br>,166
"You motherfuckers... They carry Marla into the BUILDING'S ENTRANCE. Jack leans against the railing, exhausted.",166
<br><b><u>TYLER</u>:</b><br>,166
I've got everything. The bombs. The army. I've got Marla.,166
<br><b><u>JACK</u>:</b><br>,166
"Bob is dead, Tyler. The police blew a hole in his head. Was that part of your plan? Tyler thinks, shrugs.",166
<br><b><u>TYLER</u>:</b><br>,166
"Bob was a grown man. In any great struggle, there will be casualties. Wouldn't that be implicit in the name? Project ""Mayhem.""",166
<br><b><u>JACK</u>:</b><br>,166
Fuck your struggle. I want out.,166
<br><b><u>TYLER</u>:</b><br>,166
You want out?,166
<br><b><u>JACK</u>:</b><br>,166
I quit.,166
<br><b><u>TYLER</u>:</b><br>,166
"Not an option, for the most obvious of reasons. You need to get with the program. (looks at his watch) Seven minutes. Let's get out of here. Tyler's walks away. Jack looks at the gun in his hand. He points the gun at Tyler...",166
<br><b><u>JACK</u>:</b><br>,166
Tyler...,166
<br><b><u>TYLER</u>:</b><br>,166
(still walking away) What?,166
<br><b><u>JACK</u>:</b><br>,166
(COCKS the gun) Defuse the bomb. Tyler stops walking.,166
<br><b><u>TYLER</u>:</b><br>,166
Ask me nicely.,166
<br><b><u>JACK</u>:</b><br>,166
"Defuse the bomb, please.",166
<br><b><u>TYLER</u>:</b><br>,166
Defuse the bomb?,166
<br><b><u>JACK</u>:</b><br>,166
Yes. Tyler strides towards the BOMB. Jack trains the gun...,166
<br><b><u>JACK</u>:</b><br>,166
"Please. Tyler looks at the BOMB, reaches over to it. He grips the GREEN WIRE, yanks it out -- the CLOCK STOPS. Jack lowers his gun.",166
<br><b><u>TYLER</u>:</b><br>,166
"I did that for you. As a gesture. Now, how fast can you run? There are ten other bombs, in ten other buildings in the immediate area. If you're going to get them all, you better get cracking. (looks at watch) Six minutes. Green wires, remember. I'll be upstairs. Jack's stunned. Tyler walks across the parking garage, past Jack, heading for the STAIRS. Jack aims the gun at Tyler's back, FIRES! Tyler ducks to one side, impossibly quick, avoiding... Tyler spins to face Jack.",166
<br><b><u>TYLER</u>:</b><br>,166
"Whoa! What was that all about? Jack aims... FIRES! Tyler DODGES behind a post as the BULLET THROWS CONCRETE. Jack edges forward, gun held in both hands, moves around the post... Tyler is NOT THERE. Jack turns, takes slow steps, moving the gun from side to side... Suddenly, a FIST ENTERS FRAME -- SLUGS Jack's face. Jack falls. The gun goes CLATTERING across the floor... Jack turns, looking... Tyler's GONE. Jack looks to the gun, scrambles to his feet, running to pick up the gun... Tyler KICKS Jack in the chest, sends Jack sprawling. Jack rolls, holding his chest. He looks up, sees Tyler run into the STAIRWELL. Jack grabs the gun and follows...<br><a href='#top'>gora strony</a>",166
<h3>INT. LARGE SOCIAL ROOM - TOP FLOOR</h3><br><a name='top'></a>,173
"CLOSE ON: Jack's head jerks back as he SNAPS AWAKE. He looks around, trying to focus his eyes... JACK'S P.O.V. -- TRACKS in the sawdust of the floor, from where his body was dragged across to where he is how. CLOSE ON: Jack tries to comprehend. He turns his head -- TYLER'S HAND brings the GUN up, PUTS THE GUN IN JACK'S MOUTH. Jack freezes, looks around with his eyes... PULL BACK TO: Tyler is seated in Jack's lap. Tyler holds the gun in Jack's mouth, his arm around him. This huge room is being remodeled. Tyler and Jack are seated near floor-to-ceiling windows affording a spectacular view of the CITY. Tyler looks at his watch.",173
<br><b><u>TYLER</u>:</b><br>,173
One minute.,173
<br><b><u>JACK (V.O.)</u>:</b><br>,173
I think this is about where we came in.,173
<br><b><u>TYLER</u>:</b><br>,173
"(looking out window) This is the beginning. We're at ground zero. Maybe you should say a few words, to mark the occasion.",173
<br><b><u>JACK</u>:</b><br>,173
i... ann....iinn.. ff....nnyin... Jack tongues the barrel to the side of his mouth.,173
<br><b><u>JACK</u>:</b><br>,173
(still distorted) I still can't think of anything. Tyler checks his watch.,173
<br><b><u>TYLER</u>:</b><br>,173
"It's getting exciting now. Jack turns, so he can see down -- 31 STORIES.",173
<br><b><u>TYLER</u>:</b><br>,173
"Look what we've accomplished. (checks watch) Thirty seconds. (looks out windows) Out these windows, we will view the economic collapse. One step closer to global equilibrium. I'm glad you're here with me. Tyler watches the skyline, WHISTLES at tune, waiting.",173
<br><b><u>JACK</u>:</b><br>,173
(distorted) Can't you call it off... ?,173
<br><b><u>TYLER</u>:</b><br>,173
It's out of our hands. (looks at watch) This is it.,173
<br><b><u>JACK</u>:</b><br>,173
Please...,173
<br><b><u>TYLER</u>:</b><br>,173
"Fifteen seconds now. Can you see alright? 10... 9... 8.... Tyler looks out the windows, at SURROUNDING BUILDINGS, excited. Jack closes his eyes, despairing.",173
<br><b><u>TYLER</u>:</b><br>,173
"5... 4... 3... 2... Out the window, the SKYLINE remains unchanged. Nothing. A long beat. A very dark scowl comes over Tyler's face. Jack opens his eyes. More waiting. Tyler looks genuinely surprised, pissed-off.",173
<br><b><u>TYLER</u>:</b><br>,173
What the fuck -- ?,173
<br><b><u>JACK</u>:</b><br>,173
Paraffin.,173
<br><b><u>TYLER</u>:</b><br>,173
What?,173
<br><b><u>JACK</u>:</b><br>,173
"(relieved) Paraffin. Your merry band mixed the nitro with paraffin. I saw it floating in the bomb. (more) JACK (cont) They must've run out of cotton and Epsom salt. Paraffin is iffy at best. Tyler rises, taking the gun from Jack's mouth, starts pacing. Jack rubs his sore jowls, allows himself a smile.",173
<br><b><u>TYLER</u>:</b><br>,173
Damn it! God-damn it...,173
<br><b><u>JACK</u>:</b><br>,173
Not exactly according to plan.,173
<br><b><u>TYLER</u>:</b><br>,173
"Do we have to do everything ourselves?! Tyler stops walking, lets out a sigh of disgust. He reaches into his pocket, taking out a WALKIE TALKIE.",173
<br><b><u>TYLER</u>:</b><br>,173
(into WALKIE TALKIE) ... Codename Rooster. Passcode First Strike... Jack's eyes go wide.,173
<br><b><u>JACK</u>:</b><br>,173
NO...,173
<br><b><u>TYLER</u>:</b><br>,173
"(into WALKIE TALKIE) Proceed with remote detonation. Jack leaps -- TACKLES Tyler. The GUN is knocked away. Jack STRIKES Tyler's face repeatedly with his elbow, scrambles off... Jack gets the gun, turns, pointing it. Tyler's getting to his feet, sees the gun, annoyed. Jack stands.",173
<br><b><u>TYLER</u>:</b><br>,173
"Haven't we already done this? Jack SHOOTS TWICE. Bullets pass right thorough Tyler. Tyler just rolls his eyes, drops the walkie-talkie to the floor and STOMPS on it, CRUSHING it.",173
<br><b><u>JACK</u>:</b><br>,173
(pointing) How'd you do that?! You're a fucking figment of my imagination... you're psychogenic fugue state...,173
<br><b><u>TYLER</u>:</b><br>,173
"Fuck that, maybe you're my hallucination. Jack falters, pointing at Tyler's feet. There's no walkie- talkie there. Jack looks down, sees the WALKIE-TALKIE CRUSHED under his own foot.",173
<br><b><u>JACK</u>:</b><br>,173
"Oh... Christ... Jack holds his head, walks around, at his wit's end.",173
<br><b><u>JACK</u>:</b><br>,173
Why... why... why... ?,173
<br><b><u>TYLER</u>:</b><br>,173
Why what?,173
<br><b><u>JACK</u>:</b><br>,173
Why can't I get rid of you? Why can't I just wish you away?,173
<br><b><u>TYLER</u>:</b><br>,173
You need me.,173
<br><b><u>JACK</u>:</b><br>,173
"No, no, I don't. (pause) I thank you, I really do. Thank you, but I don't need you anymore.",173
<br><b><u>TYLER</u>:</b><br>,173
"Look, I can be selfish, I know that. (pause) I'm not blind to my own failings...",173
<br><b><u>JACK</u>:</b><br>,173
"Noooo, please... Jack backs up against a window, numb and weary.",173
<br><b><u>TYLER</u>:</b><br>,173
"From now on, we'll share Marla. We've been spending too much time apart...",173
<br><b><u>JACK</u>:</b><br>,173
"... no, no, no...",173
<br><b><u>TYLER</u>:</b><br>,173
"No more running off without you. From here on out, we do it together.",173
<br><b><u>JACK</u>:</b><br>,173
Why are you doing this?!,173
<br><b><u>TYLER</u>:</b><br>,173
I'm doing this for us.,173
<br><b><u>JACK</u>:</b><br>,173
"Please understand... I've gotten all I can from this, Tyler.",173
<br><b><u>TYLER</u>:</b><br>,173
"(sullen) If I leave, you will be right back where I found you...",173
